Line	Book	Chapter	Verse	Scripture
2317	Luk 	12	2	οὐδὲν δὲ συγκεκαλυμμένον ἐστὶν ὃ οὐκ ἀποκαλυφθήσεται καὶ κρυπτὸν ὃ οὐ γνωσθήσεται 
2318	Luk 	12	3	ἀνθ ὧν ὅσα ἐν τῇ σκοτίᾳ εἴπατε ἐν τῷ φωτὶ ἀκουσθήσεται καὶ ὃ πρὸς τὸ οὖς ἐλαλήσατε ἐν τοῖς ταμείοις κηρυχθήσεται ἐπὶ τῶν δωμάτων 
2319	Luk 	12	4	Λέγω δὲ ὑμῖν τοῖς φίλοις μου μὴ φοβηθῆτε ἀπὸ τῶν ἀποκτεινόντων τὸ σῶμα καὶ μετὰ ταῦτα μὴ ἐχόντων περισσότερόν τι ποιῆσαι 
2320	Luk 	12	5	ὑποδείξω δὲ ὑμῖν τίνα φοβηθῆτε.  φοβήθητε τὸν μετὰ τὸ ἀποκτεῖναι ἐξουσίαν ἔχοντα ἐμβαλεῖν εἰς τὴν γέενναν ναί λέγω ὑμῖν τοῦτον φοβήθητε 
2321	Luk 	12	6	οὐχὶ πέντε στρουθία πωλεῖται ἀσσαρίων δύο καὶ ἓν ἐξ αὐτῶν οὐκ ἔστιν ἐπιλελησμένον ἐνώπιον τοῦ θεοῦ 
2322	Luk 	12	7	ἀλλὰ καὶ αἱ τρίχες τῆς κεφαλῆς ὑμῶν πᾶσαι ἠρίθμηνται μὴ οὖν φοβεῖσθε.  πολλῶν στρουθίων διαφέρετε 
2323	Luk 	12	8	Λέγω δὲ ὑμῖν πᾶς ὃς ἂν ὁμολογήσῃ ἐν ἐμοὶ ἔμπροσθεν τῶν ἀνθρώπων καὶ ὁ υἱὸς τοῦ ἀνθρώπου ὁμολογήσει ἐν αὐτῷ ἔμπροσθεν τῶν ἀγγέλων τοῦ θεοῦ.  
2324	Luk 	12	9	ὁ δὲ ἀρνησάμενός με ἐνώπιον τῶν ἀνθρώπων ἀπαρνηθήσεται ἐνώπιον τῶν ἀγγέλων τοῦ θεοῦ 
2325	Luk 	12	10	καὶ πᾶς ὃς ἐρεῖ λόγον εἰς τὸν υἱὸν τοῦ ἀνθρώπου ἀφεθήσεται αὐτῷ.  τῷ δὲ εἰς τὸ ἅγιον πνεῦμα βλασφημήσαντι οὐκ ἀφεθήσεται 
2326	Luk 	12	11	ὅταν δὲ προσφέρωσιν ὑμᾶς ἐπὶ τὰς συναγωγὰς καὶ τὰς ἀρχὰς καὶ τὰς ἐξουσίας μὴ μεριμνᾶτε πῶς ἢ τί ἀπολογήσησθε ἢ τί εἴπητε.  
2327	Luk 	12	12	τὸ γὰρ ἅγιον πνεῦμα διδάξει ὑμᾶς ἐν αὐτῇ τῇ ὥρᾳ ἃ δεῖ εἰπεῖν 
2328	Luk 	12	13	Εἶπεν δέ τις αὐτῷ ἐκ τοῦ ὄχλου Διδάσκαλε εἰπὲ τῷ ἀδελφῷ μου μερίσασθαι μετ' ἐμοῦ τὴν κληρονομίαν 
2329	Luk 	12	14	ὁ δὲ εἶπεν αὐτῷ Ἄνθρωπε τίς με κατέστησεν δικαστὴν ἢ μεριστὴν ἐφ' ὑμᾶς 
2330	Luk 	12	15	εἶπεν δὲ πρὸς αὐτούς Ὁρᾶτε καὶ φυλάσσεσθε ἀπὸ τῆς πλεονεξίας ὅτι οὐκ ἐν τῷ περισσεύειν τινὶ ἡ ζωὴ αὐτοῦ ἐστιν ἐκ τῶν ὑπαρχόντων αὐτοῦ 
2331	Luk 	12	16	Εἶπεν δὲ παραβολὴν πρὸς αὐτοὺς λέγων, Ἀνθρώπου τινὸς πλουσίου εὐφόρησεν ἡ χώρα 
2332	Luk 	12	17	καὶ διελογίζετο ἐν ἑαυτῷ λέγων, Τί ποιήσω ὅτι οὐκ ἔχω ποῦ συνάξω τοὺς καρπούς μου 
2333	Luk 	12	18	καὶ εἶπεν Τοῦτο ποιήσω καθελῶ μου τὰς ἀποθήκας καὶ μείζονας οἰκοδομήσω καὶ συνάξω ἐκεῖ πάντα τὰ γενήματά μου καὶ τὰ ἀγαθά μου 
2334	Luk 	12	19	καὶ ἐρῶ τῇ ψυχῇ μου Ψυχή ἔχεις πολλὰ ἀγαθὰ κείμενα εἰς ἔτη πολλά.  ἀναπαύου φάγε πίε εὐφραίνου 
2335	Luk 	12	20	εἶπεν δὲ αὐτῷ ὁ θεός Ἄφρων ταύτῃ τῇ νυκτὶ τὴν ψυχήν σου ἀπαιτοῦσιν ἀπὸ σοῦ.  ἃ δὲ ἡτοίμασας τίνι ἔσται 
2336	Luk 	12	21	οὕτως ὁ θησαυρίζων ἑαυτῷ καὶ μὴ εἰς θεὸν πλουτῶν 
2337	Luk 	12	22	Εἶπεν δὲ πρὸς τοὺς μαθητάς αὐτοῦ Διὰ τοῦτο ὑμῖν.  λέγω μὴ μεριμνᾶτε τῇ ψυχῇ ὑμῶν, τί φάγητε μηδὲ τῷ σώματι τί ἐνδύσησθε 
2338	Luk 	12	23	ἡ ψυχὴ πλεῖόν ἐστιν τῆς τροφῆς καὶ τὸ σῶμα τοῦ ἐνδύματος 
2339	Luk 	12	24	κατανοήσατε τοὺς κόρακας ὅτι οὐ σπείρουσιν οὐδὲ θερίζουσιν οἷς οὐκ ἔστιν ταμεῖον οὐδὲ ἀποθήκη καὶ ὁ θεὸς τρέφει αὐτούς.  πόσῳ μᾶλλον ὑμεῖς διαφέρετε τῶν πετεινῶν 
2340	Luk 	12	25	τίς δὲ ἐξ ὑμῶν μεριμνῶν δύναται προσθεῖναι ἐπὶ τὴν ἡλικίαν αὐτοῦ πῆχυν ἕνα 
2341	Luk 	12	26	εἰ οὖν οὐτὲ ἐλάχιστον δύνασθε τί περὶ τῶν λοιπῶν μεριμνᾶτε 
2342	Luk 	12	27	κατανοήσατε τὰ κρίνα πῶς αὐξάνει.  οὐ κοπιᾷ οὐδὲ νήθει.  λέγω δὲ ὑμῖν οὐδὲ Σολομὼν ἐν πάσῃ τῇ δόξῃ αὐτοῦ περιεβάλετο ὡς ἓν τούτων 
2343	Luk 	12	28	εἰ δὲ τὸν χόρτον ἐν τῷ ἀγρῷ σήμερον ὄντα καὶ αὔριον εἰς κλίβανον βαλλόμενον ὁ θεὸς οὕτως ἀμφιέννυσιν πόσῳ μᾶλλον ὑμᾶς ὀλιγόπιστοι 
2344	Luk 	12	29	καὶ ὑμεῖς μὴ ζητεῖτε τί φάγητε ἢ τί πίητε καὶ μὴ μετεωρίζεσθε.  
2345	Luk 	12	30	ταῦτα γὰρ πάντα τὰ ἔθνη τοῦ κόσμου ἐπιζητεῖ.  ὑμῶν δὲ ὁ πατὴρ οἶδεν ὅτι χρῄζετε τούτων 
2346	Luk 	12	31	πλὴν ζητεῖτε τὴν βασιλείαν τοῦ Θεοῦ, καὶ ταῦτα πάντα προστεθήσεται ὑμῖν 
2347	Luk 	12	32	Μὴ φοβοῦ τὸ μικρὸν ποίμνιον ὅτι εὐδόκησεν ὁ πατὴρ ὑμῶν δοῦναι ὑμῖν τὴν βασιλείαν 
2348	Luk 	12	33	Πωλήσατε τὰ ὑπάρχοντα ὑμῶν καὶ δότε ἐλεημοσύνην.  ποιήσατε ἑαυτοῖς βαλάντια μὴ παλαιούμενα θησαυρὸν ἀνέκλειπτον ἐν τοῖς οὐρανοῖς ὅπου κλέπτης οὐκ ἐγγίζει οὐδὲ σὴς διαφθείρει.  
2349	Luk 	12	34	ὅπου γάρ ἐστιν ὁ θησαυρὸς ὑμῶν ἐκεῖ καὶ ἡ καρδία ὑμῶν ἔσται 
2350	Luk 	12	35	Ἔστωσαν ὑμῶν αἱ ὀσφύες περιεζωσμέναι καὶ οἱ λύχνοι καιόμενοι.  
2351	Luk 	12	36	καὶ ὑμεῖς ὅμοιοι ἀνθρώποις προσδεχομένοις τὸν κύριον ἑαυτῶν πότε ἀναλύσει ἐκ τῶν γάμων ἵνα ἐλθόντος καὶ κρούσαντος εὐθέως ἀνοίξωσιν αὐτῷ 
2352	Luk 	12	37	μακάριοι οἱ δοῦλοι ἐκεῖνοι οὓς ἐλθὼν ὁ κύριος εὑρήσει γρηγοροῦντας.  ἀμὴν λέγω ὑμῖν ὅτι περιζώσεται καὶ ἀνακλινεῖ αὐτοὺς καὶ παρελθὼν διακονήσει αὐτοῖς 
2353	Luk 	12	38	καὶ ἐὰν ἔλθῃ ἐν τῇ δευτέρᾳ φυλακῇ καὶ ἐν τῇ τρίτῃ φυλακῇ, ἔλθῃ καὶ εὕρῃ οὕτως μακάριοί εἰσιν οἱ δοῦλοι ἐκεῖνοι 
2354	Luk 	12	39	τοῦτο δὲ γινώσκετε ὅτι εἰ ᾔδει ὁ οἰκοδεσπότης ποίᾳ ὥρᾳ ὁ κλέπτης ἔρχεται ἐγρηγόρησεν ἂν καὶ οὐκ ἄν, ἀφῆκεν διορυγῆναι τὸν οἶκον αὐτοῦ 
2355	Luk 	12	40	καὶ ὑμεῖς οὖν γίνεσθε ἕτοιμοι ὅτι ᾗ ὥρᾳ οὐ δοκεῖτε ὁ υἱὸς τοῦ ἀνθρώπου ἔρχεται 
2356	Luk 	12	41	Εἶπεν δὲ αὐτῷ ὁ Πέτρος Κύριε πρὸς ἡμᾶς τὴν παραβολὴν ταύτην λέγεις ἢ καὶ πρὸς πάντας 
2357	Luk 	12	42	εἶπεν δὲ ὁ κύριος Τίς ἄρα ἐστὶν ὁ πιστὸς οἰκονόμος καὶ φρόνιμος ὃν καταστήσει ὁ κύριος ἐπὶ τῆς θεραπείας αὐτοῦ τοῦ διδόναι ἐν καιρῷ τὸ σιτομέτριον 
2358	Luk 	12	43	μακάριος ὁ δοῦλος ἐκεῖνος ὃν ἐλθὼν ὁ κύριος αὐτοῦ εὑρήσει ποιοῦντα οὕτως 
2359	Luk 	12	44	ἀληθῶς λέγω ὑμῖν ὅτι ἐπὶ πᾶσιν τοῖς ὑπάρχουσιν αὐτοῦ καταστήσει αὐτόν 
2360	Luk 	12	45	ἐὰν δὲ εἴπῃ ὁ δοῦλος ἐκεῖνος ἐν τῇ καρδίᾳ αὐτοῦ Χρονίζει ὁ κύριός μου ἔρχεσθαι καὶ ἄρξηται τύπτειν τοὺς παῖδας καὶ τὰς παιδίσκας ἐσθίειν τε καὶ πίνειν καὶ μεθύσκεσθαι 
2361	Luk 	12	46	ἥξει ὁ κύριος τοῦ δούλου ἐκείνου ἐν ἡμέρᾳ ᾗ οὐ προσδοκᾷ καὶ ἐν ὥρᾳ ᾗ οὐ γινώσκει καὶ διχοτομήσει αὐτὸν καὶ τὸ μέρος αὐτοῦ μετὰ τῶν ἀπίστων θήσει 
2362	Luk 	12	47	ἐκεῖνος δὲ ὁ δοῦλος ὁ γνοὺς τὸ θέλημα τοῦ κυρίου ἑαυτοῦ, καὶ μὴ ἑτοιμάσας μηδὲ ποιήσας πρὸς τὸ θέλημα αὐτοῦ δαρήσεται πολλάς.  
2363	Luk 	12	48	ὁ δὲ μὴ γνούς ποιήσας δὲ ἄξια πληγῶν δαρήσεται ὀλίγας παντὶ δὲ ᾧ ἐδόθη πολύ πολὺ ζητηθήσεται παρ' αὐτοῦ καὶ ᾧ παρέθεντο πολύ περισσότερον αἰτήσουσιν αὐτόν 
2364	Luk 	12	49	Πῦρ ἦλθον βαλεῖν εἰς τὴν γῆν καὶ τί θέλω εἰ ἤδη ἀνήφθη 
2365	Luk 	12	50	βάπτισμα δὲ ἔχω βαπτισθῆναι καὶ πῶς συνέχομαι ἕως οὖ τελεσθῇ 
2366	Luk 	12	51	δοκεῖτε ὅτι εἰρήνην παρεγενόμην δοῦναι ἐν τῇ γῇ οὐχί λέγω ὑμῖν ἀλλ' ἢ διαμερισμόν 
2367	Luk 	12	52	ἔσονται γὰρ ἀπὸ τοῦ νῦν πέντε ἐν οἴκῳ ἑνὶ διαμεμερισμένοι τρεῖς ἐπὶ δυσὶν καὶ δύο ἐπὶ τρισίν 
2368	Luk 	12	53	διαμερισθήσεται πατὴρ ἐφ' υἱῷ καὶ υἱὸς ἐπὶ πατρί μήτηρ ἐπὶ θυγατρί, καὶ θυγάτηρ ἐπὶ μητρί.  πενθερὰ ἐπὶ τὴν νύμφην αὐτῆς καὶ νύμφη ἐπὶ τὴν πενθεράν αὐτῆς, 
2369	Luk 	12	54	Ἔλεγεν δὲ καὶ τοῖς ὄχλοις Ὅταν ἴδητε τὴν νεφέλην ἀνατέλλουσαν ἀπὸ δυσμῶν εὐθέως λέγετε Ὄμβρος ἔρχεται καὶ γίνεται οὕτως.  
2370	Luk 	12	55	καὶ ὅταν νότον πνέοντα λέγετε ὅτι Καύσων ἔσται καὶ γίνεται 
2371	Luk 	12	56	ὑποκριταί τὸ πρόσωπον τῆς γῆς καὶ τοῦ οὐρανοῦ οἴδατε δοκιμάζειν τὸν δὲ καιρὸν τοῦτον πῶς οὐ δοκιμάζετε 
2372	Luk 	12	57	Τί δὲ καὶ ἀφ' ἑαυτῶν οὐ κρίνετε τὸ δίκαιον 
2373	Luk 	12	58	ὡς γὰρ ὑπάγεις μετὰ τοῦ ἀντιδίκου σου ἐπ' ἄρχοντα ἐν τῇ ὁδῷ δὸς ἐργασίαν ἀπηλλάχθαι ἀπ' αὐτοῦ μήποτε κατασύρῃ σε πρὸς τὸν κριτήν καὶ ὁ κριτής σε παραδῷ τῷ πράκτορι καὶ ὁ πράκτωρ σε βάλλῃ εἰς φυλακήν 
2374	Luk 	12	59	λέγω σοι οὐ μὴ ἐξέλθῃς ἐκεῖθεν ἕως οὐ καὶ τὸ ἔσχατον λεπτὸν ἀποδῷς 
2375	Luk 	13	1	Παρῆσαν δέ τινες ἐν αὐτῷ τῷ καιρῷ ἀπαγγέλλοντες αὐτῷ περὶ τῶν Γαλιλαίων ὧν τὸ αἷμα Πιλᾶτος ἔμιξεν μετὰ τῶν θυσιῶν αὐτῶν 
2376	Luk 	13	2	καὶ ἀποκριθεὶς ὁ Ἰησοῦς εἶπεν αὐτοῖς Δοκεῖτε ὅτι οἱ Γαλιλαῖοι οὗτοι ἁμαρτωλοὶ παρὰ πάντας τοὺς Γαλιλαίους ἐγένοντο ὅτι τοιαῦτα πεπόνθασιν 
2377	Luk 	13	3	οὐχί λέγω ὑμῖν ἀλλ' ἐὰν μὴ μετανοῆτε πάντες ὡσαύτως ἀπολεῖσθε 
2378	Luk 	13	4	ἢ ἐκεῖνοι οἱ δεκα καὶ οκτὼ, ἐφ' οὓς ἔπεσεν ὁ πύργος ἐν τῷ Σιλωὰμ καὶ ἀπέκτεινεν αὐτούς δοκεῖτε ὅτι οὐτοὶ ὀφειλέται ἐγένοντο παρὰ πάντας ἀνθρώπους τοὺς κατοικοῦντας ἐν Ἰερουσαλήμ 
2379	Luk 	13	5	οὐχί λέγω ὑμῖν ἀλλ' ἐὰν μὴ μετανοῆτε πάντες ὁμοίως ἀπολεῖσθε 
2380	Luk 	13	6	Ἔλεγεν δὲ ταύτην τὴν παραβολήν.  Συκῆν εἶχέν τις ἐν τῷ ἀμπελῶνι αὐτοῦ πεφυτευμένην καὶ ἦλθεν καρπὸν ζητῶν ἐν αὐτῇ καὶ οὐχ εὗρεν 
2381	Luk 	13	7	εἶπεν δὲ πρὸς τὸν ἀμπελουργόν Ἰδού, τρία ἔτη ἔρχομαι ζητῶν καρπὸν ἐν τῇ συκῇ ταύτῃ καὶ οὐχ εὑρίσκω.  ἔκκοψον αὐτήν ἱνατί καὶ τὴν γῆν καταργεῖ 
2382	Luk 	13	8	ὁ δὲ ἀποκριθεὶς λέγει αὐτῷ Κύριε ἄφες αὐτὴν καὶ τοῦτο τὸ ἔτος ἕως ὅτου σκάψω περὶ αὐτὴν καὶ βάλω κόπριαν, 
2383	Luk 	13	9	κἂν μὲν ποιήσῃ καρπὸν εἰ δὲ μήγε, εἰς τὸ μέλλον.  ἐκκόψεις αὐτήν 
2384	Luk 	13	10	Ἦν δὲ διδάσκων ἐν μιᾷ τῶν συναγωγῶν ἐν τοῖς σάββασιν 
2385	Luk 	13	11	καὶ ἰδού, γυνὴ ἦν πνεῦμα ἔχουσα ἀσθενείας ἔτη δέκα καὶ ὀκτὼ, καὶ ἦν συγκύπτουσα καὶ μὴ δυναμένη ἀνακύψαι εἰς τὸ παντελές 
2386	Luk 	13	12	ἰδὼν δὲ αὐτὴν ὁ Ἰησοῦς προσεφώνησεν καὶ εἶπεν αὐτῇ Γύναι ἀπολέλυσαι τῆς ἀσθενείας σου 
2387	Luk 	13	13	καὶ ἐπέθηκεν αὐτῇ τὰς χεῖρας.  καὶ παραχρῆμα ἀνωρθώθη καὶ ἐδόξαζεν τὸν θεόν 
2388	Luk 	13	14	ἀποκριθεὶς δὲ ὁ ἀρχισυνάγωγος ἀγανακτῶν ὅτι τῷ σαββάτῳ ἐθεράπευσεν ὁ Ἰησοῦς ἔλεγεν τῷ ὄχλῳ Ἓξ ἡμέραι εἰσὶν ἐν αἷς δεῖ ἐργάζεσθαι.  ἐν ταύταις οὖν ἐρχόμενοι θεραπεύεσθε καὶ μὴ τῇ ἡμέρᾳ τοῦ σαββάτου 
2389	Luk 	13	15	ἀπεκρίθη οὖν αὐτῷ ὁ κύριος καὶ εἶπεν ὑποκριτά ἕκαστος ὑμῶν τῷ σαββάτῳ οὐ λύει τὸν βοῦν αὐτοῦ ἢ τὸν ὄνον ἀπὸ τῆς φάτνης καὶ ἀπαγαγὼν ποτίζει 
2390	Luk 	13	16	ταύτην δὲ θυγατέρα Ἀβραὰμ οὖσαν ἣν ἔδησεν ὁ Σατανᾶς ἰδού, δέκα καὶ ὀκτὼ ἔτη οὐκ ἔδει λυθῆναι ἀπὸ τοῦ δεσμοῦ τούτου τῇ ἡμέρᾳ τοῦ σαββάτου 
2391	Luk 	13	17	καὶ ταῦτα λέγοντος αὐτοῦ κατῃσχύνοντο πάντες οἱ ἀντικείμενοι αὐτῷ καὶ πᾶς ὁ ὄχλος ἔχαιρεν ἐπὶ πᾶσιν τοῖς ἐνδόξοις τοῖς γινομένοις ὑπ' αὐτοῦ 
2392	Luk 	13	18	Ἔλεγεν δὲ, Τίνι ὁμοία ἐστὶν ἡ βασιλεία τοῦ θεοῦ καὶ τίνι ὁμοιώσω αὐτήν 
2393	Luk 	13	19	ὁμοία ἐστὶν κόκκῳ σινάπεως ὃν λαβὼν ἄνθρωπος ἔβαλεν εἰς κῆπον ἑαυτοῦ καὶ ηὔξησεν καὶ ἐγένετο εἰς δένδρον μέγα, καὶ τὰ πετεινὰ τοῦ οὐρανοῦ κατεσκήνωσεν ἐν τοῖς κλάδοις αὐτοῦ 
2394	Luk 	13	20	Καὶ πάλιν εἶπεν Τίνι ὁμοιώσω τὴν βασιλείαν τοῦ θεοῦ 
2395	Luk 	13	21	ὁμοία ἐστὶν ζύμῃ ἣν λαβοῦσα γυνὴ ἐνέκρυψεν εἰς ἀλεύρου σάτα τρία ἕως οὗ ἐζυμώθη ὅλον 
2396	Luk 	13	22	Καὶ διεπορεύετο κατὰ πόλεις καὶ κώμας διδάσκων καὶ πορείαν ποιούμενος εἰς Ἰερουσαλήμ 
2397	Luk 	13	23	εἶπεν δέ τις αὐτῷ Κύριε εἰ ὀλίγοι οἱ σῳζόμενοι ὁ δὲ εἶπεν πρὸς αὐτούς 
2398	Luk 	13	24	Ἀγωνίζεσθε εἰσελθεῖν διὰ τῆς στενῆς πύλης.  ὅτι πολλοί λέγω ὑμῖν ζητήσουσιν εἰσελθεῖν καὶ οὐκ ἰσχύσουσιν 
2399	Luk 	13	25	ἀφ' οὗ ἂν ἐγερθῇ ὁ οἰκοδεσπότης καὶ ἀποκλείσῃ τὴν θύραν καὶ ἄρξησθε ἔξω ἑστάναι καὶ κρούειν τὴν θύραν λέγοντες Κύριε Κύριε, ἄνοιξον ἡμῖν καὶ ἀποκριθεὶς ἐρεῖ ὑμῖν Οὐκ οἶδα ὑμᾶς πόθεν ἐστέ 
2400	Luk 	13	26	τότε ἄρξεσθε λέγειν Ἐφάγομεν ἐνώπιόν σου καὶ ἐπίομεν καὶ ἐν ταῖς πλατείαις ἡμῶν ἐδίδαξας.  
2401	Luk 	13	27	καὶ ἐρεῖ λέγω ὑμῖν Οὐκ οἶδα ὑμᾶς πόθεν ἐστέ.  ἀπόστητε ἀπ' ἐμοῦ πάντες οἱ ἐργάται τῆς ἀδικίας 
2402	Luk 	13	28	ἐκεῖ ἔσται ὁ κλαυθμὸς καὶ ὁ βρυγμὸς τῶν ὀδόντων ὅταν ὄψησθε Ἀβραὰμ καὶ Ἰσαὰκ καὶ Ἰακὼβ καὶ πάντας τοὺς προφήτας ἐν τῇ βασιλείᾳ τοῦ θεοῦ ὑμᾶς δὲ ἐκβαλλομένους ἔξω 
2403	Luk 	13	29	καὶ ἥξουσιν ἀπὸ ἀνατολῶν καὶ δυσμῶν καὶ ἀπὸ βορρᾶ καὶ νότου καὶ ἀνακλιθήσονται ἐν τῇ βασιλείᾳ τοῦ θεοῦ 
2404	Luk 	13	30	καὶ ἰδού, εἰσὶν ἔσχατοι οἳ ἔσονται πρῶτοι καὶ εἰσὶν πρῶτοι οἳ ἔσονται ἔσχατοι 
2405	Luk 	13	31	Ἐν αὐτῇ τῇ ἡμέρα προσῆλθόν τινες Φαρισαῖοι λέγοντες αὐτῷ Ἔξελθε καὶ πορεύου ἐντεῦθεν ὅτι Ἡρῴδης θέλει σε ἀποκτεῖναι 
2406	Luk 	13	32	καὶ εἶπεν αὐτοῖς Πορευθέντες εἴπατε τῇ ἀλώπεκι ταύτῃ Ἰδού, ἐκβάλλω δαιμόνια καὶ ἰάσεις ἐπιτελῶ σήμερον καὶ αὔριον καὶ τῇ τρίτῃ τελειοῦμαι 
2407	Luk 	13	33	πλὴν δεῖ με σήμερον καὶ αὔριον καὶ τῇ ἐχομένῃ πορεύεσθαι ὅτι οὐκ ἐνδέχεται προφήτην ἀπολέσθαι ἔξω Ἰερουσαλήμ 
2408	Luk 	13	34	Ἰερουσαλὴμ Ἰερουσαλήμ ἡ ἀποκτείνουσα τοὺς προφήτας καὶ λιθοβολοῦσα τοὺς ἀπεσταλμένους πρὸς αὐτήν ποσάκις ἠθέλησα ἐπισυνάξαι τὰ τέκνα σου ὃν τρόπον ὄρνις τὴν ἑαυτῆς νοσσιὰν ὑπὸ τὰς πτέρυγας καὶ οὐκ ἠθελήσατε 
2409	Luk 	13	35	ἰδού, ἀφίεται ὑμῖν ὁ οἶκος ὑμῶν ἔρημος.  ἀμὴν δὲ λέγω ὑμῖν ὅτι οὐ μὴ με ἴδητέ ἕως ἄν ἥξῃ, ὅτε εἴπητε Εὐλογημένος ὁ ἐρχόμενος ἐν ὀνόματι κυρίου. 
2410	Luk 	14	1	Καὶ ἐγένετο ἐν τῷ ἐλθεῖν αὐτὸν εἰς οἶκόν τινος τῶν ἀρχόντων τῶν Φαρισαίων σαββάτῳ φαγεῖν ἄρτον καὶ αὐτοὶ ἦσαν παρατηρούμενοι αὐτόν 
2411	Luk 	14	2	καὶ ἰδού, ἄνθρωπός τις ἦν ὑδρωπικὸς ἔμπροσθεν αὐτοῦ 
2412	Luk 	14	3	καὶ ἀποκριθεὶς ὁ Ἰησοῦς εἶπεν πρὸς τοὺς νομικοὺς καὶ Φαρισαίους λέγων, Ἐι Ἔξεστιν τῷ σαββάτῳ θεραπεύειν 
2413	Luk 	14	4	οἱ δὲ ἡσύχασαν καὶ ἐπιλαβόμενος ἰάσατο αὐτὸν καὶ ἀπέλυσεν 
2414	Luk 	14	5	καὶ ἀποκριθεὶς πρὸς αὐτοὺς εἶπεν Τίνος ὑμῶν ὄνος ἢ βοῦς εἰς φρέαρ ἐμπεσεῖται, καὶ οὐκ εὐθέως ἀνασπάσει αὐτὸν ἐν τὴ ἡμέρᾳ τοῦ σαββάτου 
2415	Luk 	14	6	καὶ οὐκ ἴσχυσαν ἀνταποκριθῆναι αὐτῷ πρὸς ταῦτα 
2416	Luk 	14	7	Ἔλεγεν δὲ πρὸς τοὺς κεκλημένους παραβολήν ἐπέχων πῶς τὰς πρωτοκλισίας ἐξελέγοντο λέγων πρὸς αὐτούς 
2417	Luk 	14	8	Ὅταν κληθῇς ὑπό τινος εἰς γάμους μὴ κατακλιθῇς εἰς τὴν πρωτοκλισίαν μήποτε ἐντιμότερός σου ᾖ κεκλημένος ὑπ' αὐτοῦ 
2418	Luk 	14	9	καὶ ἐλθὼν ὁ σὲ καὶ αὐτὸν καλέσας ἐρεῖ σοι Δὸς τούτῳ τόπον καὶ τότε ἄρξῃ μετ' αἰσχύνης τὸν ἔσχατον τόπον κατέχειν 
2419	Luk 	14	10	ἀλλ' ὅταν κληθῇς πορευθεὶς ἀνάπεσον εἰς τὸν ἔσχατον τόπον ἵνα ὅταν ἔλθῃ ὁ κεκληκώς σε εἴπῃ σοι Φίλε προσανάβηθι ἀνώτερον.  τότε ἔσται σοι δόξα ἐνώπιον τῶν συνανακειμένων σοι 
2420	Luk 	14	11	ὅτι πᾶς ὁ ὑψῶν ἑαυτὸν ταπεινωθήσεται καὶ ὁ ταπεινῶν ἑαυτὸν ὑψωθήσεται 
2421	Luk 	14	12	Ἔλεγεν δὲ καὶ τῷ κεκληκότι αὐτόν Ὅταν ποιῇς ἄριστον ἢ δεῖπνον μὴ φώνει τοὺς φίλους σου μηδὲ τοὺς ἀδελφούς σου μηδὲ τοὺς συγγενεῖς σου μηδὲ γείτονας πλουσίους μήποτε καὶ αὐτοὶ σε ἀντικαλέσωσίν καὶ γένηται σοι ἀνταπόδομά 
2422	Luk 	14	13	ἀλλ' ὅταν ποιῇς δοχὴν κάλει πτωχούς ἀναπήρους, χωλούς τυφλούς.  
2423	Luk 	14	14	καὶ μακάριος ἔσῃ ὅτι οὐκ ἔχουσιν ἀνταποδοῦναί σοι ἀνταποδοθήσεται γάρ σοι ἐν τῇ ἀναστάσει τῶν δικαίων 
2424	Luk 	14	15	Ἀκούσας δέ τις τῶν συνανακειμένων ταῦτα εἶπεν αὐτῷ Μακάριος ὃς φάγεται ἄρτον ἐν τῇ βασιλείᾳ τοῦ θεοῦ 
2425	Luk 	14	16	ὁ δὲ εἶπεν αὐτῷ Ἄνθρωπός τις ἐποίησεν δεῖπνον μέγα καὶ ἐκάλεσεν πολλούς 
2426	Luk 	14	17	καὶ ἀπέστειλεν τὸν δοῦλον αὐτοῦ τῇ ὥρᾳ τοῦ δείπνου εἰπεῖν τοῖς κεκλημένοις Ἔρχεσθε ὅτι ἤδη ἕτοιμά ἐστιν πάντα 
2427	Luk 	14	18	καὶ ἤρξαντο ἀπὸ μιᾶς παραιτεῖσθαι πάντες ὁ πρῶτος εἶπεν αὐτῷ Ἀγρὸν ἠγόρασα καὶ ἔχω ἀνάγκην ἐξελθεῖν καὶ ἰδεῖν αὐτόν.  ἐρωτῶ σε ἔχε με παρῃτημένον 
2428	Luk 	14	19	καὶ ἕτερος εἶπεν Ζεύγη βοῶν ἠγόρασα πέντε καὶ πορεύομαι δοκιμάσαι αὐτά.  ἐρωτῶ σε ἔχε με παρῃτημένον 
2429	Luk 	14	20	καὶ ἕτερος εἶπεν Γυναῖκα ἔγημα καὶ διὰ τοῦτο οὐ δύναμαι ἐλθεῖν 
2430	Luk 	14	21	καὶ παραγενόμενος ὁ δοῦλος ἐκεῖνος ἀπήγγειλεν τῷ κυρίῳ αὐτοῦ ταῦτα τότε ὀργισθεὶς ὁ οἰκοδεσπότης εἶπεν τῷ δούλῳ αὐτοῦ Ἔξελθε ταχέως εἰς τὰς πλατείας καὶ ῥύμας τῆς πόλεως καὶ τοὺς πτωχοὺς καὶ ἀναπήρους καὶ χωλοὺς καὶ τυφλοὺς εἰσάγαγε ὧδε 
2431	Luk 	14	22	καὶ εἶπεν ὁ δοῦλος Κύριε γέγονεν ὡς ἐπέταξας καὶ ἔτι τόπος ἐστίν 
